Country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,0,-437400,-178900,-157800,6900,9384,11866,14350,145506,8146,9072,-13334,36616,25692,3956,-2366,-2366,-2366,-1452,-1452,-1452,-1452,-1452,-1452,-1452,-1452,-1452,-1452,-1452,-1452,-1452,-1452,-1452
Croatia,,,,,,,,,,,,,,,,,-48004,-34357,29476,27250,-52245,-14071,-30732,-16102,4495,13674,57945,8598,11921,11571,8218,7286,5620,7053,-1472,-4875,-4165,-3918,-4884,-10220,-9206,-8193,-7180,-6166,-5153,-4139,-3126,-2112,-1099
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3357,12657,15269,11651,9631,-862832,5219,25739,-1689,-7683,-5069,9227,5847,-1324,-4705,-8085,-11465,-14844
Montenegro,,,,,,,,,,,,,,,,,,-3889,-3889,-3889,-3889,-3889,-3889,-3889,-3889,-3889,-3889,-3889,-3889,-1697,-1697,-1697,-1697,-1697,-1697,-1697,-1697,-1915,-2133,-2352,-2569,-2787,-3005,-3005,-3005,-3005,-3005,-3005,-3005
North Macedonia,,,,,,,,,,,,,,,,,,,,2794,1716,1254,-1943,-2019,-496,1027,683,1115,1001,1001,383,466,988,26,468,652,806,1053,1391,1699,2860,2135,1805,1475,1146,816,816,816,816
Slovenia,,,,,,,,,,,,,,,,,-3073,-375,1376,959,2507,6517,2442,-2107,2333,2610,2992,1865,3412,1902,6436,6267,14250,18584,11508,-521,2059,644,487,-490,507,1051,1597,2144,2691,3237,3237,3237,3237
Syria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10908,13421,682989,801524,-402354,-52679,-54360,-256814,-1188778,-2437663,-1506168,-1283015,-583556,-741551,649643,350000,525000,700000,875000,1050000
Ukraine,,,,,,,,,,,,,,,44303,79301,148402,268571,51953,-123634,-114194,-146025,-118088,-131883,-120545,-115909,-135769,-33791,-24210,-7615,4583,14245,16838,14879,13447,16133,17096,61844,31913,-600000,-100000,0,0,200000,200000,100000,-11527,-7956309,1300000
Iraq,,,,,,,,,,,,,0,0,0,-1067000,-125000,8000,3000,8000,8000,8000,0,0,0,0,1274,119284,-35497,57915,50505,-1207020,-840532,404537,119057,92770,262382,746698,474406,-2924,-20906,-104863,-23414,-13717,-13474,-20212,-26948,-33686,-40422
Serbia,,,,,,,1922,-1554,268,1155,2251,2480,-650,2336,3555,-802,-74654,428,1552,2720,-6304,62822,-56648,61046,-5068,-81068,20000,-10000,-9000,-8000,-7000,-6000,-5000,-4000,-3000,-2000,-1000,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,,,,,-500000,-1234921,-2145063,-608230,-224521,295084,-235542,-441090,-417457,-111242,-21007,-695106,32794,1754148,1177577,643407,52036,4897,-2438,9559,98872,-1017547,-222431,1299482,374242,-278433,248327,58630,-948179,222570,-53995,-94529,-85425,-76323,-67219,-58115,-49013,-39909,-30805,-21703,-12599,-3500,-3581,-3667,-3754
Rwanda,,,,1200,1200,1200,1200,1200,2300,-26800,-38100,14400,28500,37500,17200,-33400,-50500,-2900,241300,-2170400,474500,1396600,358196,-125208,-124208,-175208,-20808,-93008,-76891,-41774,-102514,-36545,-40264,-43441,-112798,-23283,-1480,24962,36406,5624,-139840,10358,2082,-6194,-14470,-42308,-42308,-42308,-42308
Lebanon,-40000,-33750,-27501,-21250,-15000,-14000,-13000,-12000,-11000,-10000,-9000,-11213,-13427,-15640,-17854,24685,-14831,-20389,-20187,-20389,-20389,-20389,-20067,-20067,-20067,14507,14507,14507,14507,15297,15212,59509,67847,14477,-10091,-51405,-3029,111307,865049,493053,-6794,-6636,-126733,-245886,-365411,-484939,-5000,-5000,-5000
