Rank,country,Capital,Continent,Area__km_,latitude,longitude,year,population
36,Afghanistan,Kabul,Asia,652230,34.5260109,69.1776838,_1950,7480461
140,Armenia,Yerevan,Asia,29743,40.1777112,44.5126233,_1950,1385041
91,Azerbaijan,Baku,Asia,86600,40.3755885,49.8328009,_1950,3158966
154,Bahrain,Manama,Asia,765,26.2235041,50.5822436,_1950,117149
8,Bangladesh,Dhaka,Asia,147570,23.7644025,90.389015,_1950,39728535
165,Bhutan,Thimphu,Asia,38394,27.4781469,89.62627973726109,_1950,176367
175,Brunei,Bandar Seri Begawan,Asia,5765,4.8895453,114.9417574,_1950,48269
73,Cambodia,Phnom Penh,Asia,181035,11.568271,104.9224426,_1950,4380380
1,China,Beijing,Asia,9706961,39.9057136,116.3912972,_1950,543979233
131,Georgia,Tbilisi,Asia,69700,41.6934591,44.8014495,_1950,3517264
104,Hong Kong,Hong Kong,Asia,1104,22.350627,114.1849161,_1950,1980524
2,India,New Delhi,Asia,3287590,28.6138954,77.2090057,_1950,357021100
4,Indonesia,Jakarta,Asia,1904569,-6.175247,106.8270488,_1950,69567619
17,Iran,Tehran,Asia,1648195,35.6892523,51.3896004,_1950,16832834
35,Iraq,Baghdad,Asia,438317,33.3061701,44.3872213,_1950,5656471
98,Israel,Jerusalem,Asia,20770,31.78847185,35.21879441094499,_1950,1284157
11,Japan,Tokyo,Asia,377930,35.6821936,139.762221,_1950,84353049
83,Jordan,Amman,Asia,89342,31.9515694,35.9239625,_1950,438386
66,Kazakhstan,Nursultan,Asia,2724900,51.1282205,71.4306682,_1950,6655675
129,Kuwait,Kuwait City,Asia,17818,29.3796532,47.9734174,_1950,153738
110,Kyrgyzstan,Bishkek,Asia,199951,42.8777895,74.6066926,_1950,1751225
103,Laos,Vientiane,Asia,236800,17.9640988,102.6133707,_1950,1684674
119,Lebanon,Beirut,Asia,10452,33.8959203,35.47843,_1950,1349588
45,Malaysia,Kuala Lumpur,Asia,330803,3.1516964,101.6942371,_1950,5972876
174,Maldives,Malé,Asia,300,46.0726871,9.1668764,_1950,74484
134,Mongolia,Ulaanbaatar,Asia,1564110,47.94093275,106.91795035225584,_1950,781260
26,Myanmar,Nay Pyi Taw,Asia,676578,19.7540045,96.1344976,_1950,17731818
49,Nepal,Kathmandu,Asia,147181,27.708317,85.3205817,_1950,8398945
56,North Korea,Pyongyang,Asia,120538,39.0167979,125.7473609,_1950,11103379
127,Oman,Muscat,Asia,309500,23.5882019,58.3829448,_1950,457317
5,Pakistan,Islamabad,Asia,881912,33.6938118,73.0651511,_1950,37696264
13,Philippines,Manila,Asia,342353,14.5906346,120.9799964,_1950,18469878
143,Qatar,Doha,Asia,11586,25.2856329,51.5264162,_1950,24288
41,Saudi Arabia,Riyadh,Asia,2149690,24.638916,46.7160104,_1950,3089693
113,Singapore,Singapore,Asia,710,1.357107,103.8194992,_1950,1006701
29,South Korea,Seoul,Asia,100210,37.5666791,126.9782914,_1950,20104010
61,Sri Lanka,Colombo,Asia,65610,6.9388614,79.8542005,_1950,7945977
60,Syria,Damascus,Asia,185180,33.5130695,36.3095814,_1950,3543537
57,Taiwan,Taipei,Asia,36193,25.0375198,121.5636796,_1950,7623130
95,Tajikistan,Dushanbe,Asia,143100,38.5762709,68.7863573,_1950,1526140
20,Thailand,Bangkok,Asia,513120,13.8245796,100.6224463,_1950,20411638
155,Timor-Leste,Dili,Asia,14874,-8.5536809,125.5784093,_1950,414791
18,Turkey,Ankara,Asia,783562,39.9207759,32.8540497,_1950,20977697
111,Turkmenistan,Ashgabat,Asia,488100,37.9404648,58.3823487,_1950,1214096
97,United Arab Emirates,Abu Dhabi,Asia,83600,24.4538352,54.3774014,_1950,74591
43,Uzbekistan,Tashkent,Asia,447400,41.3123363,69.2787079,_1950,6247550
16,Vietnam,Hanoi,Asia,331212,21.0283334,105.854041,_1950,25109200
46,Yemen,Sanaa,Asia,527968,15.3538569,44.2058841,_1950,4712810
